,title,rating,body
10,My son bday present,5.0 out of 5 stars,My son love his gift then and now and it was worth the money spent
11,just what i wanted,5.0 out of 5 stars,i liked it
12,Great fun,5.0 out of 5 stars,I purchased this for my son. It was alittle cheaper because it's yellow. My son plays it almost everyday.
13,A bit of joy to a couple of Gen X-ers,5.0 out of 5 stars,"My girlfriend and I are both in our 40's, and neither of us have owned any modern (post 2000) game console. For me it was a Super Nintendo, for her an N64. I borrowed a Nintendo Wii from a friend and loved it, but I never bought one. We just wanted something handheld that you can play the old school games on. I've had my eye on a Switch Lite for a while, and finally purchased one a couple of weeks ago. I don't know the technical ins and outs of modern consoles, so I'm just going to keep my mouth shut there; but after an easy setup, this has been a ton of fun for both of us. I would like to ease my way into newer games, I just became uninterested in video games from my teenage years to recently, so nearly 30 years in this particular realm of technology has largely passed me by. But like I said, my girlfriend and I have been having a lot of fun reliving the 80's and early 90's with this. So if you're looking for the same experience, definitely pick one of these up."
14,"A nice handheld - just too big, and battery life still isn't good enough",4.0 out of 5 stars,"I've used my original Switch probably 80% of the time in handheld mode since I got it, so a smaller version that's handheld-only and with better battery life seemed a no-brainer to me. The original Switch isn't really powerful enough to compete with the other home consoles, but as a handheld it's huuuuuuge, and has really poor battery life. So I was actually excited for a handheld-only version - while I like the idea of a hybrid system and feel it was executed pretty well for a first attempt, I just think a more focused handheld-only Switch should be able to do the thing the system is already best at even better.And generally, the Switch Lite does. It's better built than the original Switch - it doesn't show fingerprints, it doesn't flex or bend, and it just generally feels really solid. It also has a proper Nintendo-style d-pad, which I know is important for some people. The screen is also a tad bit brighter.The weird thing is that it's not that much smaller than the original Switch, and battery life isn't much better either. Both of these things should have been priorities in a handheld-only device. Compared to the 3DS or even 3DS XL, this thing is massive. And as far as battery life goes, I only get about 4 hours. These are both the kinds of things people pointed to for handhelds like the Atari Lynx and Sega Game Gear failing in the marketplace! The Switch Lite is almost as wide as an Atari Lynx II, and has about the same battery life.The main justification for the size that I've heard is that it has to play games that are meant to be played on a big screen TV, so the screen can't really be that small. But first, the Switch Lite still has some pretty big screen bezels - as big as the PS Vita, a much older handheld. They could have reduced the system's size without further reducing screen size. But second, this is a dedicated handheld. I don't want compromises; I want a handheld. If you want a system with a big screen that can be used to play those big-screen games, get an original Switch! It can be used as either a big-screen system or a handheld; that's why it still exists. For a *dedicated* handheld, I want a small system that I can put in my pocket. I want a system designed as a handheld, not as something slightly smaller than the home version of the system.In other words, there's just not quite enough differentiation between the Switch and Switch Lite in terms of its handheld capabilities, so it's a little hard to recommend this to someone who already has a Switch (like me). It's just not going to be all that much different when carrying it around and using it in handheld mode. That's especially true if you have the ""new"" original Switch (the one that comes in the red box) with its 1-2 hours of extra battery life. In that case, there's really no justification for buying this unless you want to play games simultaneously with your wife or kids.But if you don't have a Switch, and you don't care about hooking up to your TV, then this is definitely the most powerful handheld ever released. It's also cheaper than the original Switch, better built and a bit smaller, so if you're only planning on playing in handheld mode, you may as well get this.But I hope Nintendo keeps iterating (and they usually do) and this is not the last version of the Switch Lite. They really need to get it down to about the size of the 3DS XL, and with 10-12 hours of battery life. Then it'll be a 5 star handheld."
15,PARENTS BEWARE: This could be useless to you too!,5.0 out of 5 stars,"Gave it 5 stars because there is nothing wrong as described, but parents may want to read this:I have two kids and we already own the original Nintendo Switch and have amassed over 40 games throughout the 2.5 years since the Switch's release. The Switch Lite although nothing physically wrong with it, is completely useless to me and my family. I have two young kids, and all 3 of us have our own profiles which are linked under my main account via Nintendo ID. The problem is is that only the main account holder (me) can play the purchased games on both devices. So the Switch Lite does not work for either of my kids, only my main account. Yes, this can be switched by changing which Switch device is the ""primary"" switch, but the fact still remains that under NO conditions can my kids play both switch consoles at the same time, even if it is two separate games. If you have cartridges instead of digital downloads, you will not have this problem. I just fail to understand Nintendo's logic with this. I understand that they are trying to protect their own content from unauthorized use, but in doing so are rendering their newest device completely useless to customers like me. I will be returning."
16,A fave item in my house,5.0 out of 5 stars,My kids still play with this even years later and it works just as well as when I bought it new
17,What kid wouldn’t want this Switch?,5.0 out of 5 stars,"What a big hit! My grandson, age 7, loves his Nintendo Switch! It was packed well and he had no problem setting up his user ID and off he went to playing games!"
18,Pretty great came fast,5.0 out of 5 stars,Ordered my switch on a Friday and it came on Wednesday so it came pretty quick I also saw a lot of reviews saying it didn’t come with a charger well it does so now I have 2 chargers for my switch
19,Muy chevere,5.0 out of 5 stars,Me encanto
20,handheld switch,4.0 out of 5 stars,very convenient for travel play
21,Great Nintendo Console,5.0 out of 5 stars,The best Nintendo Console ever made❤️🙂👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍❤️👍👍👍👍👍👍👍❤️👍👍
22,So far so good! Works great,5.0 out of 5 stars,Everything works as it should & been going since April now
23,I love it,5.0 out of 5 stars,The only thing I wish is that I could connect to my TV.  Otherwise great buy!
24,Too pricey the analog stick is messed up,4.0 out of 5 stars,Fun system tho everything cost
25,Good on the go system,4.0 out of 5 stars,"Came really quick but, I don't know if it was my screen protector or not but there were some small scratches on the screen at least I think I am not entirely sure. Either way, still a good console and no matter how much you try to coddle it, there will be wear and tare. I definitely recommend this system though especially, if you don't have time to really sit down a lot."
26,An amazing handheld device even in 2022,5.0 out of 5 stars,"It's now the best time to buy the switch lite. There are a ton of games on the eshop with discounts on a daily basis. Runs smooth (at least to my eyes) I am mainly playing MH rise and there is no issue even in multiplayer. This device is so convenient if you are a busy person, you can easily play while on break and just put it to sleep when you go back to work and when you turn it back on you will continue where you left of, I was surprise with this feature a game changer for me since I only like to play for a couple of minutes at a time. A must buy for your self or as a gift."
27,The Switch lite is great for small kids.,5.0 out of 5 stars,Beautiful color and the kids love it. Seems to work great.
28,Great to distract wife,5.0 out of 5 stars,Wife hates me playing video games. Got her this and she loved it and is okay with me gaming.
29,My daughter loves it,5.0 out of 5 stars,This is just what my daughter was looking for. She is playing it nonstop.
30,Good value!,5.0 out of 5 stars,We bought this for our 10 year old granddaughter Christmas 2021. She’s not a gamer but loves this device and the Animal Crossing game that we bought with it. Nearly 8 months later and she still plays on it regularly.The one negative Is that there are not enough compatible games for this device that are wholesome. Animal Crossing is relatively innocuous but has some elements that are disturbing for young kids.
31,great used condition,5.0 out of 5 stars,great used condition
32,It’s so PRETTY 😭,5.0 out of 5 stars,"The media could not be loaded.
                



 I ordered this morning and it’s already HERE! Perfect condition! 💓 definitely PINK! And sd card was there too! It’s so B I G ! The screen is so clear and all buttons work great. Thank y’all so much this was my bday present from hubby! 😁"
33,Love it,5.0 out of 5 stars,Good switch.
34,Received it on time and works great!,5.0 out of 5 stars,"Glad I got it, it’s fun to play with and works great, also it came on time."
35,"It’s a Nintendo, what more do you need to know?",5.0 out of 5 stars,"Okay but seriously, I only caved and bought this when my Gameboy Advance finally broke after life happened one too many times to it.This wasn’t my first choice for color, it’s an orangey-pink coral. But it works great, the battery holds up so far and it charges quickly. It will not, however, hold an entire library worth of games so if you flit from title to title like I do? Do yourself a favor and buy a high capacity SD card. Completely worth it for my ADHD self. Especially if you have a penchant for the games with more detailed graphics.The Switch Lite does not, on that subject, have the greatest graphics itself. But it does look good, plays good, is nice and portable and checks all the boxes in general for what I wanted in a handheld.Here’s to hoping that it survives as well as its predecessors."
36,Long car ride saver,5.0 out of 5 stars,"Kept the kid busy for the long wait time and car rides, would recommend for grocery shopping trips too."
37,Great for kids but Nintendo account sharing is a nightmare,3.0 out of 5 stars,"My daughter absolutely loves her lite.  The device itself is amazing and great for travel.  There are a few downsides like not being able to dock, and some games like just dance won't work.  If you want to use it for a travel or just for standard games like Zelda and Mario this is amazing.The reason that I am giving the product 3 starts instead of 5 is all due to the family sharing.  Many will use the lite as a secondary device.  This is at least what my family has done.  We purchased a switch a few years ago for the family and for Christmas  our daughter really wanted to have her own.  We have a family account so the whole family can use the applications on the family switch and the kids do not need to use my account.  This would you think work similarly for the 2nd switch but that is not the case at all.  The ability to use the games on the second switch is possible but the standard way is terrible, and that is completely on Nintendo.The setup that we have that works is thisFamily switch is primary console and my account is primaryAll games are bought on this console digitally through my accounteveryone in the family can play and game on this switch and can dock and play as well on their profilessecondary switch is using my profile as the main and it needs to be online to play any gamescannot use any other profile on the switch because I am the owner of the gamesboth of my kids can play at the same time the same game but need to be on my profile on lite and their profile on switchI know that Nintendo wants users to buy multiple copies of the games to play, but my kids accounts do no t have payment methods and we did not want to have a lot of disks lying around.  We put in 512GB cards so that we would not need to worry about space.If Nintendo could allow family sharing allow every switch in your house play every game locally even if it is only 1 person can play the game at a time this would be amazing.  As it stands now family sharing is killing the usability.  I can play the same game on my PS4 and PS5.  I can also do it on my xbox one and series x.  Nintendo needs to match what all of the other platforms are doing for as much as you spend on these consoles and games you should be able to play them without needing to jump through a ton of hoops."
38,Finally a true Vita replacement,5.0 out of 5 stars,"I was ecstatic when the first switch was announced two years ago. I've always loved the feeling of gaming on a handheld device, having grown up with the Gameboy, Gameboy color and Gameboy advance. Years later the PSP and Vita garnered my attention.Console gaming on a TV has its place, as does gaming on a PC. However, there is something that just feels more intimate about a handheld device you can play while sitting on the couch in a relaxed position. Or even more being able to take the experience with you and combat the total boredom of a three hour layover at the airport, followed by another half day in a cramped airplane.I had a switch since it's initial release and while it offered a good experience as a handheld it still lacked something compared to the Gameboy and Playstation devices. Breath of the wild on the go felt like a step in the right direction. But I feel as if the steps were impacted by heavy boots, an awkward and somewhat uncomfortable delivery for the experience.I'm not saying that the switch was a bad design but it was far from ideal given my expectations. Over the past two years my switch never went into the dock to display on my TV, it resigned to a dedicated handheld that eventually lapsed into a distraction only to be used while traveling. The awkward flex of the joycons mixed with the weight and size of the switch let me down a little. But for occasional use I could see past the flaws.Now, onto the switch lite. Immediately after unboxing and holding the device I could tell that this is what I had wanted in the switch two years ago. The weight is well balanced as my hands sit naturally onto the controls and there is no flex when gripping firmly. It's reminiscent of the Vita in all of the best ways. Only this time there's a game library that provides adequate variety.My first impressions could be tainted by the paired release of Link's Awakening, which is wonderful I might add. Finally, I found myself fully engulfed in gaming on the switch. It was like reliving my childhood, spending hours with my Gameboy in my grasp on the very same title.As expected, my hands didn't cramp after a half hour of use like they would with the original switch. The battery held sufficient charge to stay away from the outlet on the other side of my couch for hours on end as well. In my eyes it is perfect in every possibly way as a dedicated handheld gaming console. At last I'm content to finally have a true Vita replacement."
39,algunos rayones tiene la consola,4.0 out of 5 stars,Pensaba estaba en mejor estado
40,Good gaming system,5.0 out of 5 stars,The Nintendo switch lite in this blue color works amazing. I prefer this to the actual switch.  It plays and hooks up as it should. My son uses this to play fortnite daily.
41,LOVE IT!,5.0 out of 5 stars,i’ve been thinking about getting this for the longest! i bought the blue one for my fiancé as a gift and he loves it he will be getting me one next !!!
42,Great condition. Best price. Great game.,5.0 out of 5 stars,"Device is in great condition even used! The price was an amazing steal, lower than the rest. Screen is clear all buttons work, I’m definitely gonna have fun with this one! Thanks!"
43,Happy purchase,5.0 out of 5 stars,My child loves this game console!
44,Lite is Great for Kids,5.0 out of 5 stars,"As a parent of 4 I highly recommend getting each one of your kids a Switch Lite. This and streaming apps goes a long way, trust me!"
45,Amazing!!,5.0 out of 5 stars,Very happy with it definitely worth it been about 3 months now with it works amazingly
46,"Fast, easy, and just as described thank you",5.0 out of 5 stars,Fast easy and just as described thank you
47,Like New! Very impressed.,5.0 out of 5 stars,"Received a used switch lite in the box and looked and worked brand new! Was finally talked into switching from my New 3DS XL to the Switch (not happy but that’s where all the new games are). Figured I’d start used with the Lite…I’m very impressed. It looked like I ordered it new, and I appreciate that above all. Exactly what was described and exactly what was delivered! You’d expect some kind of flaws, but I’ve found none at all. Five stars!"
48,Birthday gift,5.0 out of 5 stars,"Birthday gift for 8 year old granddaughter. Kids get bored easily. After one month, she barely plays with it."
49,Hotspot disconnection,4.0 out of 5 stars,"bought this a month ago when it was sold by the nintendo company, $199 plus shipping and tax with ended with $123. Came packaged securely and with a charger and the switch in a plastic bag.The battery lasts about four hours for me but three hours when it’s 15%. Bought games for it and the game play is really good graphics and nice feel to it. The joycons have a grip to it and nice the buttons are soft also. Played animal crossing with my friends who also have switch lites and easy connection to the internet. But if you want to play online with local or friends you have to have internet connection! With wifi, it connects just fine and smoothly but with hotspot to a phone or device, it disconnects easily and really angers me. I’ve played many games on it Mario odyssey, Luigis mansion 3, Animal crossing new horizons, and many more and all are good quality. I sometimes give to my little brother and he dropped it a couple times but the screen didn’t crack (Since it’s plastic) and the side buttons click fine. I don’t think it necessary to get a case and screen protector for the switch but your choice is fine. If you already have a the original or newer version of the switch I recommend you shouldn’t get this switch bc it has less features. if you don’t have a switch, this is a really good alternative to the original switch and cheaper regarding the sellers that buy the switches and sell for more. Personally I recommend this switch to new users in the nintendo community! I play this god sent thing everyday nonstop and sometimes I have to force myself to stop! I don’t recommend to buy rn in this pandemic with the prices up to $399, wait have patience and you’ll love this thing!"
50,Happy kid!,5.0 out of 5 stars,Very fast delivery. I'm pleased with my purchase. Thank you.
51,Works great!,4.0 out of 5 stars,"I’ve had my switch for about a month now and I love it! The only issues are that the battery lasts about an hour off the charger and the little joystick on the left makes a weird clicking noise whenever you push it to the left. Otherwise, it’s been awesome!"
52,Love nintendo,5.0 out of 5 stars,Nintendo is a great product but I never received it.
53,Nintendo Swithlite,5.0 out of 5 stars,"I purchased this for my eldest daughter for her birthday and she hardly puts it down,lol.  If she sits,she has the game in her hands!  I think she loves it,lol"
54,Mostly impressed,4.0 out of 5 stars,"Here we have the Switch Lite, for those who are ready to ditch the TV and make your Switch entirely a portable device.Let's talk about that for a moment. This is an entirely portable device, just a tiny bit larger than a Vita (for the seven of you who have one of those), and with a screen about the size of the average smart phone. The form factor is definitely smaller than that of the regular Switch, and it's much lighter. It's really very comfortable to use.The JoyCons are no more. They still exist, in the sense that you can have external ones attached to this baby, but the system has a pair built in. Now with external ones, you could probably play some two player games together, but honestly I don't much see the point.The screen quality is excellent. Breath of the Wild and Smash look amazing. The games play well, too. It takes a hot second to get used to the controls, but once you're there, you're golden. The sound quality is also very good.The one complaint that I have about the system is the same complaint we've all had about Nintendo in general for years: the online component. I have two X Box 1 S systems (don't ask why), and with those, my game saves, and downloaded games are easily available on both systems. I don't even have to really put any effort into it.With the Switch and Switch Lite, it's different. You have to go through several annoying steps in order to make it happen, and even then, you have to set up one as your primary system and the other as the secondary (I haven't been able to figure out how to do this yet).That complaint aside, and it isn't a small complaint, I'm quite pleased. It's another worthy handheld for Nintendo!"
55,Great product but there’s a problem,4.0 out of 5 stars,The only problem that I have with Nintendo and Nintendo products is that the games are very pricey but this shouldn’t be taken from the actual product
56,This is a great product,5.0 out of 5 stars,This game console is perfect for on the go or road trips.
57,The best handheld console ever made,5.0 out of 5 stars,"The Switch Lite is the perfect handheld system, and the best handheld ever made. While not as versatile as its original big brother, it is weighted perfectly and is far more ergonomic than the larger Switch, causing less fatigue over long gaming sessions. For on the go, you simply can't beat it. Best game selection spanning decades, there are games for everyone, and you can play them anywhere and never miss a beat. I have an original Switch as my couch console, and the Lite for on the go. When I am done playing on the TV, the Lite in my backpack automatically starts syncing the last saves and I am ready to go seamlessly. The Lite is just so great as a gaming companion everywhere, finally something to replace the 3DS properly!"
58,Nice,5.0 out of 5 stars,It is so mini and cute but also great for gaming on the go.
59,So far so good.,5.0 out of 5 stars,"For starters, a little history.. I brought a REFURBISHED XBOX One X from amazon a YEAR ago, and upon arrival, it looked absolutely brand new.. A YEAR later, it still performs flawlessly..  Now to my switch lite that ive had for a solid month thus far. I dont inderstand some complaints about some who request a new switch but receive a used one.. That really doesnt make any sense.  You order used, and you get used.  You order new and you get new.  I have been playing my switch lite EVERY day on my lunch break, at home after and sometimes il play a few games before i hit the sack. Ive even let my coworkers pass it around at my job so they get to play and now they they all want one.. Not ONE issue with my switch lite thus far even after all the use its been through this month, knock on wood... Just take care of you things.. Dont toss it around in your backpack, dont put it in your pocket without a case, wash your hands before you play it, and dont put uneccesary pressure on your joycons..  Dont dwell on the negative reviews. The $200 bucks ive spent is worth it in spaids. Just my 2 cents worth! And thanks again amazon!"
60,Not a good idea if you're buying for Young ages,3.0 out of 5 stars,This little device is spendy and so are all the games I was expecting a better more durable experience. I didn't even own this 2 months before I know I needed to sell before it would loose its value. It started developing a stick drift in both joy sticks. I simply fixed it the first few times by recalibrating but the time after it wouldn't correct even by recalibrating and finally I messed with the buttons until it finally quit drifting. But I could only imagine if I couldn't get it to stop and having to go pay for repair would make this device not really worth the cost. Yes I did buy this intentionally for my toddlers but I don't think it's meant for toddlers because of how easy it will break.I also had a problem with the charger that it came with not charging and having to troubleshoot that problem also. I hope they can fix this problem if it is an issue on all devices I would reconsider buying another one but just for myself next time not my kids lol
61,My grandson loves it,5.0 out of 5 stars,Nothing
62,I like Nintendo and found this handheld to suit my purposes,5.0 out of 5 stars,I prefer leaving my other console docked and this one mobile. It works for this function and is easy to use.
