Player name,Appearances,Goals Overview,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls
Cameron Plain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Pope,156,53,53,54,512,2,61,185,26,118,683,"1,214",53,180,5,0,8,0,3,0,0,"4,156",26.64,"1,310"
Aaron Ramsdale,123,29,49,61,394,1,46,71,20,53,546,808,29,175,3,0,2,0,1,0,1,"3,310",26.91,706
Darren Randolph,34,7,12,15,91,1,9,33,8,16,102,285,7,61,5,0,1,0,0,0,0,900,26.47,324
David Raya,39,12,14,13,142,0,11,49,10,23,192,322,12,52,2,0,1,0,1,0,0,"1,531",39.26,415
Joel Robles,51,17,20,19,142,0,26,82,17,25,191,439,17,64,4,0,4,0,2,0,1,"1,354",26.55,346
Marek Rodák,4,1,0,2,6,0,3,2,0,2,9,22,1,7,0,0,0,0,0,0,0,99,24.75,25
John Ruddy,123,25,33,57,396,2,51,177,77,71,498,"1,117",25,194,12,0,3,1,1,0,0,"2,623",21.33,741
Rúnar Rúnarsson,1,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,9,9,0
Carl Rushworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brice Samba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,78,25,25,25,200,0,16,78,13,16,367,505,25,88,1,0,6,1,3,0,0,"2,730",35,450
Matija Sarkic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kjell Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasper Schmeichel,284,82,122,95,814,7,120,188,91,161,996,"2,204",82,370,7,2,13,0,0,0,0,"8,318",29.29,"2,375"
Teddy Sharman-Lowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viljami Sinisalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cieran Slicker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Slonina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smithies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Steele,1,0,0,1,3,0,1,0,0,0,2,6,0,2,0,0,0,0,0,0,0,36,36,3
Jed Steer,3,0,0,3,3,0,0,2,1,2,15,11,0,4,0,0,0,0,0,0,0,63,21,10
Zack Steffen,2,1,2,0,3,0,0,0,1,2,10,15,1,1,0,0,0,0,1,0,0,59,29.5,3
Jakub Stolarczyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Storer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Strakosha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Travers,11,3,3,8,32,0,2,5,0,3,48,107,3,32,1,0,0,0,0,0,0,271,24.64,73
Nathan Trott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Tyrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radek Vítek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie Whiteman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Whitworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keehan Willows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliwier Zych,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
