Player name,Appearances,Goals,Wins,Losses,Goals.1,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Mateusz Bogusz,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Bendegúz Bolla,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Willy Boly,91,5,34,34,27,108.0,204,61%,1,11,158,402,241,0,485,566,307,29,303,142,0,0,2.0,"4,357",47.88,6.0,2,0%,2.0,184,7.0,2.0,76.0,5.0,5,3,1,0.0,1.0,,
Gaëtan Bong,51,0,11,24,11,73.0,56,75%,0,0,65,116,53,0,255,155,158,28,54,63,1,1,0.0,"1,401",27.47,0.0,116,14%,0.0,64,2.0,0.0,27.0,0.0,0,0,0,0.0,0.0,,
Sven Botman,13,0,8,0,4,8.0,14,64%,0,3,11,36,16,0,52,42,16,0,26,9,0,0,0.0,567,43.62,1.0,0,0%,0.0,43,0.0,0.0,5.0,0.0,0,0,0,0.0,1.0,,
Jamie Bowden,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Jarrod Bowen,109,23,42,46,23,0.21,2,3,16,1,0,195,65,33%,6,27,19,"1,929",17.70,25,382,6,0.0,53,36.0,105.0,75,71,22.0,11,,,,,,,,,,,
Josh Bowler,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Conor Bradley,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Robert Brady,160,10,45,81,10,0.06,0,3,7,2,1,170,46,27%,7,1,13,"3,619",22.62,25,767,26%,14.0,218,18.0,1.0,136,14,261.0,73%,59.0,144.0,238.0,115.0,652,653,647,140.0,154.0,131.0,3.0
Jarrad Branthwaite,10,1,1,7,1,20.0,12,67%,0,0,3,31,17,0,42,40,36,2,20,20,0,0,0.0,338,33.8,0.0,0,0%,0.0,18,0.0,1.0,7.0,0.0,1,0,1,0.0,0.0,,
Sammy Braybrooke,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Nathan Broadhead,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,2,2.00,0,0,0,0.0,0,0.0,1.0,0,0,0.0,0,,,,,,,,,,,
Armando Broja,45,7,14,16,7,0.16,0,7,0,0,0,51,26,51%,2,8,0,450,10.00,2,8,2,0.0,31,16.0,16.0,9,4,12.0,7,,,,,,,,,,,
David Brooks,39,8,14,19,8,0.21,1,0,7,0,0,47,22,47%,3,8,5,"1,008",25.85,9,57,25%,16.0,25,4.0,0.0,19,2,43.0,72%,11.0,26.0,23.0,3.0,128,138,192,36.0,8.0,38.0,0.0
Bruno Fernandes,100,38,51,21,38,0.38,2,33,3,13,1,280,108,39%,9,22,26,"5,403",54.03,46,425,24%,53.0,341,23.0,0.0,104,16,159.0,53%,87.0,65.0,96.0,54.0,491,407,557,72.0,46.0,107.0,1.0
Bruno Guimarães,29,8,19,5,8,0.28,2,6,0,0,0,33,16,48%,0,2,3,"1,131",39.00,4,17,35%,13.0,83,5.0,0.0,30,4,75.0,49%,8.0,24.0,19.0,4.0,186,184,153,32.0,8.0,13.0,0.0
Bruno Jordão,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,6,6.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0
Lewis Brunt,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,21,21.00,0,0,0%,0.0,1,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,2,1,3,1.0,0.0,1.0,0.0
Joe Bryan,44,1,8,28,5,70.0,76,64%,0,10,45,81,39,0,163,177,132,29,37,40,0,1,1.0,"1,265",28.75,8.0,163,18%,2.0,59,7.0,0.0,35.0,2.0,1,1,0,0.0,1.0,,
Emiliano Buendía,86,6,21,50,6,0.07,1,4,1,0,0,101,28,28%,1,4,13,"2,606",30.30,19,209,22%,41.0,141,7.0,1.0,65,6,143.0,46%,33.0,37.0,37.0,17.0,346,460,492,147.0,57.0,101.0,2.0
Hugo Bueno,6,0,1,4,0,12.0,14,50%,0,2,5,16,10,0,26,24,18,3,3,4,0,0,1.0,143,23.83,1.0,18,39%,0.0,1,1.0,0.0,1.0,0.0,0,0,0,0.0,0.0,,
Dan Burn,114,2,39,36,29,128.0,179,60%,0,13,139,466,300,2,469,626,451,32,390,177,1,0,1.0,"4,646",40.75,5.0,93,20%,3.0,164,20.0,0.0,114.0,16.0,2,1,1,0.0,1.0,,
Finley Burns,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Jack Butland,87,21,25,36,306,1.0,36,84,37,73,304,787,21,130,1,1,0,0,1,0,0,"2,593",29.8,791,,,,,,,,,,,,,,,,,
Willy Caballero,36,11,19,6,78,1.0,16,21,5,17,134,185,11,41,2,0,1,0,0,0,0,882,24.5,187,,,,,,,,,,,,,,,,,
Maliq Cadogan,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Cafú,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,2,2.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,1.0,1.0,1,0,0,0.0,0.0,0.0,0.0
Gary Cahill,394,28,172,135,103,491.0,484,75%,18,66,465,"2,935","1,203",10,"1,505","2,032","1,089",71,"1,226",600,2,8,11.0,"13,464",34.17,8.0,23,17%,6.0,895,41.0,3.0,278.0,6.0,28,10,13,4.0,5.0,,
Moisés Caicedo,22,2,11,6,2,0.09,0,2,0,0,0,21,8,38%,1,0,1,"1,029",46.77,1,9,44%,7.0,40,6.0,0.0,37,1,59.0,49%,9.0,29.0,15.0,5.0,138,127,91,11.0,25.0,13.0,0.0
Jake Cain,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Tom Cairney,67,3,13,40,3,0.04,0,0,3,0,0,53,12,23%,2,0,2,"2,661",39.72,7,107,26%,11.0,154,3.0,0.0,26,1,72.0,56%,19.0,33.0,23.0,5.0,277,250,177,75.0,26.0,29.0,0.0
Duje Caleta-Car,7,0,1,4,1,9.0,6,67%,0,0,9,18,8,0,24,11,13,0,4,8,0,0,0.0,260,37.14,0.0,0,0%,0.0,15,1.0,0.0,5.0,0.0,0,0,0,0.0,0.0,,
Dominic Calvert-Lewin,170,46,64,70,46,0.27,19,21,5,2,0,310,133,43%,7,52,11,"2,581",15.18,14,57,23,0.0,197,64.0,71.0,54,38,132.0,108,,,,,,,,,,,
Leonardo Campana,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Vontae Campbell,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Thomas Cannon,1,0,0,1,0,0.0,0,0,0,0,0,1,1,100%,0,0,0,3,3.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Sergi Canós,36,3,10,17,3,0.08,1,2,0,0,0,34,13,38%,0,2,2,705,19.58,3,90,6,1.0,31,5.0,57.0,10,22,36.0,12,,,,,,,,,,,
Todd Cantwell,45,6,6,33,6,0.13,0,5,1,0,0,47,16,34%,0,3,2,"1,216",27.02,1,27,4%,7.0,35,8.0,0.0,37,5,66.0,67%,14.0,21.0,30.0,6.0,170,217,226,54.0,23.0,43.0,1.0
Elia Caprile,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Cardo Siddik Afraciab,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Carlos Vinícius,18,1,8,7,"
      1
  ",0.06,0,"
      1
  ",0,0,"
      0
  ","
      12
  ","
      6
  ","
        50%
  ","
      0
  ","
      1
  ","
      0
  ","
      104
  ","
        5.78
  ",0,"
      4
  ","
      3
  ",0.0,"
      17
  ",4.0,3.0,"
      3
  ","
      2
  ",8.0,"
      7
  ",,,,,,,,,,,
Scott Carson,146,30,45,66,435,4.0,66,161,164,23,495,"1,387",30,225,10,1,6,1,4,0,2,"2,732",18.71,832,,,,,,,,,,,,,,,,,
Cameron Carter-Vickers,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Cesare Casadei,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Casemiro,11,1,7,2,1,0.09,1,0,0,0,0,9,3,33%,0,1,1,493,44.82,2,9,22%,2.0,36,2.0,0.0,20,0,35.0,46%,2.0,13.0,21.0,16.0,58,70,48,3.0,23.0,11.0,0.0
Kaelan Casey,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Matty Cash,79,4,30,38,20,105.0,185,56%,0,15,127,180,94,4,377,387,322,52,83,90,0,0,5.0,"2,637",33.38,5.0,213,23%,4.0,127,17.0,1.0,84.0,6.0,4,1,1,2.0,0.0,,
Timothy Castagne,68,4,30,24,16,87.0,147,55%,0,4,72,126,78,0,295,292,264,20,101,106,0,2,5.0,"2,998",44.09,7.0,116,24%,1.0,74,2.0,0.0,47.0,4.0,4,2,1,1.0,1.0,,
Edinson Cavani,41,12,19,9,12,0.29,6,5,1,0,0,52,23,44%,1,13,4,566,13.80,6,6,4,0.0,28,12.0,16.0,11,8,16.0,11,,,,,,,,,,,
Cédric Soares,158,3,60,60,33,188.0,333,71%,1,25,178,365,157,3,707,606,577,63,142,241,0,6,13.0,"5,763",36.47,19.0,669,24%,5.0,323,22.0,0.0,103.0,11.0,3,0,2,1.0,1.0,,
Kallum Cesay,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Trevoh Chalobah,28,3,16,3,12,17.0,52,67%,1,1,27,67,33,1,114,123,88,11,46,41,1,1,1.0,"1,737",62.04,0.0,6,0%,3.0,63,3.0,0.0,23.0,0.0,3,2,1,0.0,1.0,,
Calum Chambers,165,7,59,66,33,197.0,287,69%,1,26,265,623,341,1,848,791,710,97,350,285,1,1,5.0,"7,046",42.7,10.0,248,18%,7.0,355,29.0,1.0,161.0,2.0,7,1,5,1.0,1.0,,
Kgaogelo Chauke,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Daniel Chesters,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Ben Chilwell,142,11,64,46,38,145.0,214,60%,1,21,150,330,184,1,705,833,698,131,318,237,0,1,16.0,"6,524",45.94,15.0,521,18%,9.0,198,14.0,1.0,118.0,18.0,11,0,2,9.0,2.0,,
Chiquinho,8,0,2,4,0,0.0,0,0,0,0,0,5,2,40%,0,1,3,75,9.38,2,25,0,0.0,9,0.0,9.0,1,2,1.0,0,,,,,,,,,,,
Tahith Chong,5,0,3,1,0,0.0,0,0,0,0,0,3,1,33%,0,1,0,29,5.80,0,0,0%,0.0,0,0.0,0.0,2,0,0.0,0%,1.0,0.0,1.0,0.0,2,5,7,2.0,0.0,2.0,0.0
Hamza Choudhury,53,1,23,17,1,0.02,0,1,0,0,0,18,5,28%,0,2,2,"1,284",24.23,2,9,11%,1.0,54,5.0,1.0,34,0,67.0,49%,7.0,63.0,45.0,15.0,145,128,120,7.0,33.0,20.0,1.0
Ben Chrisene,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Andreas Christensen,93,0,50,22,29,89.0,99,53%,1,4,120,287,154,1,491,386,230,21,230,154,0,3,0.0,"5,588",60.09,2.0,1,100%,5.0,235,10.0,1.0,54.0,1.0,0,0,0,0.0,2.0,,
Christian Marques,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Ryan Christie,13,1,4,5,1,0.08,0,0,1,0,0,14,4,29%,1,0,0,222,17.08,0,2,50%,2.0,5,1.0,0.0,16,0,17.0,76%,5.0,8.0,8.0,5.0,51,54,67,14.0,4.0,10.0,0.0
Harry Christy,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Carney Chukwuemeka,17,0,7,4,0,0.0,0,0,0,0,0,6,2,33%,1,1,1,150,8.82,1,0,0%,0.0,4,0.0,0.0,5,0,9.0,33%,3.0,2.0,3.0,1.0,19,34,34,6.0,8.0,14.0,0.0
Catalin Cirjan,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
CJ Egan-Riley,1,0,1,0,0,0.0,1,100%,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1,1.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Bobby Clark,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,1,1.00,0,0,0%,0.0,0,0.0,0.0,1,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0
Matt Clarke,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Leighton Clarkson,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Regan Clayton,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Nathaniel Clyne,222,4,92,75,61,260.0,518,68%,6,31,314,467,118,0,982,845,656,134,83,173,1,3,12.0,"8,999",40.54,15.0,512,19%,16.0,285,22.0,0.0,110.0,2.0,4,0,3,1.0,2.0,,
Conor Coady,166,6,62,62,47,195.0,141,60%,7,5,121,574,298,7,870,343,258,14,154,116,3,3,1.0,"7,798",46.98,3.0,3,33%,10.0,991,21.0,0.0,76.0,3.0,6,4,1,1.0,1.0,,
Jack Colback,183,9,50,86,9,0.05,0,1,8,0,0,89,27,30%,4,2,10,"5,959",32.56,10,263,22%,9.0,342,37.0,1.0,220,3,415.0,78%,19.0,313.0,238.0,73.0,852,826,702,56.0,96.0,140.0,1.0
Séamus Coleman,337,21,135,108,90,351.0,588,76%,9,58,348,656,341,1,"1,605","1,548","1,323",420,232,257,5,5,24.0,"10,654",31.61,39.0,818,21%,12.0,429,33.0,2.0,222.0,31.0,21,8,8,6.0,7.0,,
Nathan Collins,31,2,6,16,8,43.0,51,43%,2,3,37,126,62,2,187,150,102,10,74,47,0,0,0.0,"1,260",40.65,3.0,3,33%,1.0,91,4.0,2.0,30.0,4.0,2,1,1,0.0,0.0,,
Levi Colwill,3,0,2,1,0,2.0,1,100%,0,0,5,3,2,0,9,8,3,0,7,2,0,0,0.0,75,25.0,0.0,0,0%,0.0,9,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,,
Aaron Connolly,45,5,11,20,5,0.11,0,5,0,0,0,63,23,37%,0,11,2,257,5.71,2,11,0,0.0,22,22.0,13.0,18,0,4.0,3,,,,,,,,,,,
Lewis Cook,90,0,27,41,0,0.0,0,0,0,0,0,39,6,15%,0,0,6,"3,104",34.49,3,77,30%,13.0,216,15.0,0.0,80,1,142.0,56%,18.0,81.0,60.0,21.0,498,314,394,90.0,37.0,69.0,1.0
Liam Cooper,56,2,19,24,12,87.0,125,63%,0,2,124,192,88,0,328,376,211,7,205,122,0,0,1.0,"3,220",57.5,0.0,1,0%,1.0,170,10.0,1.0,46.0,3.0,2,2,0,0.0,0.0,,
Theo Corbeanu,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,2,2.00,0,1,0,0.0,0,0.0,2.0,0,1,0.0,0,,,,,,,,,,,
Maxwel Cornet,31,9,5,17,9,0.29,1,2,6,0,1,51,23,45%,1,6,1,403,13.00,2,57,2,0.0,22,26.0,20.0,9,10,13.0,8,,,,,,,,,,,
Vladimír Coufal,71,0,31,25,14,88.0,132,53%,0,7,78,161,87,0,337,311,261,30,96,84,1,0,11.0,"2,589",36.46,13.0,280,21%,0.0,84,7.0,1.0,65.0,2.0,0,0,0,0.0,2.0,,
Conor Coventry,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Brandon Cover,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Matthew Cox,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Amario Cozier-Duberry,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Michael Craig,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Tristan Crama,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Billy Crellin,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Charlie Cresswell,5,0,2,2,0,4.0,5,40%,0,0,2,6,5,0,6,11,6,0,6,3,0,0,0.0,104,20.8,0.0,1,0%,0.0,4,1.0,0.0,3.0,1.0,0,0,0,0.0,0.0,,
Cristiano Ronaldo,236,103,152,40,103,0.44,11,61,12,14,10,675,250,37%,16,15,37,"4,580",19.41,7,445,37,4.0,78,86.0,78.0,193,44,97.0,39,,,,,,,,,,,
Marc Cucurella,48,1,15,15,9,52.0,115,63%,1,7,37,80,36,3,301,233,167,33,47,44,0,0,3.0,"2,425",50.52,4.0,151,26%,5.0,71,8.0,0.0,38.0,4.0,1,0,0,1.0,0.0,,
Luke Cundle,4,0,2,2,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,103,25.75,1,2,0%,2.0,6,0.0,0.0,3,0,4.0,75%,0.0,1.0,1.0,0.0,12,5,7,0.0,0.0,2.0,0.0
Patrick Cutrone,14,2,5,4,2,0.14,0,1,1,0,0,12,4,33%,0,2,0,61,4.36,1,6,0,0.0,5,4.0,4.0,3,2,1.0,1,,,,,,,,,,,
Luciano D'Auria-Henry,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Patson Daka,37,8,12,17,8,0.22,0,6,2,0,0,44,27,61%,1,7,5,355,9.59,5,5,4,0.0,28,12.0,22.0,9,5,14.0,8,,,,,,,,,,,
Dale Taylor,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Stuart Dallas,72,9,26,31,16,119.0,167,60%,0,25,101,102,48,3,475,363,334,51,65,74,0,1,3.0,"3,313",46.01,8.0,183,20%,10.0,131,12.0,0.0,73.0,2.0,9,1,6,2.0,3.0,,
Mikkel Damsgaard,9,0,1,3,0,0.0,0,0,0,0,0,3,3,100%,0,1,0,108,12.00,2,9,33%,1.0,3,2.0,0.0,5,0,8.0,88%,0.0,2.0,3.0,0.0,23,16,22,3.0,1.0,6.0,0.0
Daniel Podence,74,8,30,28,8,0.11,1,4,3,0,0,101,42,42%,2,4,5,"1,613",21.80,14,109,25%,19.0,85,8.0,0.0,42,11,47.0,64%,34.0,28.0,7.0,3.0,222,229,293,90.0,14.0,45.0,0.0
Karl Darlow,52,9,11,24,170,2.0,40,46,13,13,186,441,9,84,2,1,4,0,1,0,0,"1,361",26.17,422,,,,,,,,,,,,,,,,,
Josh Dasilva,24,2,6,9,2,0.08,0,1,1,0,0,10,4,40%,0,0,1,397,16.54,3,18,22%,1.0,11,1.0,1.0,9,0,14.0,43%,4.0,3.0,9.0,4.0,52,52,43,18.0,8.0,4.0,0.0
Tom Davies,143,6,61,45,6,0.04,1,3,2,0,0,78,17,22%,3,4,5,"3,799",26.57,7,48,23%,12.0,178,28.0,0.0,148,10,174.0,60%,31.0,137.0,97.0,50.0,539,529,590,96.0,91.0,145.0,1.0
Keinan Davis,34,1,6,17,1,0.03,0,0,1,0,0,26,7,27%,1,3,1,212,6.24,1,6,0,0.0,16,3.0,3.0,5,0,5.0,4,,,,,,,,,,,
Craig Dawson,243,19,77,103,53,324.0,311,72%,4,42,397,"1,083",643,5,977,"1,272",893,44,773,446,3,1,4.0,"7,685",31.63,8.0,301,21%,5.0,586,41.0,2.0,242.0,14.0,19,14,3,1.0,7.0,,
Laurens De Bock,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Lucas De Bolle,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Kevin De Bruyne,224,60,156,30,60,0.27,0,41,19,4,4,555,198,36%,29,23,95,"11,561",51.61,146,"1,542",25%,177.0,610,17.0,0.0,181,23,290.0,64%,159.0,106.0,86.0,50.0,"1,029",887,"1,050",309.0,85.0,141.0,1.0
Bobby De Cordova-Reid,74,13,17,38,13,0.18,3,9,1,1,0,78,24,31%,2,6,5,"1,496",20.22,4,76,13,0.0,62,15.0,70.0,25,33,61.0,30,,,,,,,,,,,
David de Gea,391,135,210,86,"1,094",4.0,128,203,115,107,"1,475","3,000",135,423,16,1,6,0,1,0,0,"8,660",22.15,"2,208",,,,,,,,,,,,,,,,,
James Debayo,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Liam Delap,2,0,1,1,0,0.0,0,0,0,0,0,1,0,0%,1,0,0,7,3.50,0,0,0,0.0,2,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Fabian Delph,204,7,82,81,7,0.03,0,1,6,0,0,147,36,24%,5,3,8,"9,380",45.98,7,203,26%,15.0,544,32.0,3.0,151,1,418.0,71%,38.0,301.0,230.0,60.0,"1,094","1,040",741,271.0,135.0,169.0,5.0
Siriki Dembélé,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,2,2.00,0,0,0%,0.0,0,0.0,0.0,0,0,1.0,0%,0.0,1.0,0.0,0.0,0,2,3,1.0,0.0,1.0,0.0
Leander Dendoncker,132,9,54,45,9,0.07,2,4,3,0,0,95,35,37%,5,16,2,"4,153",31.46,4,31,26%,1.0,153,14.0,0.0,87,5,231.0,47%,15.0,111.0,181.0,116.0,522,580,516,42.0,271.0,242.0,1.0
Will Dennis,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,
Halil Dervisoglu,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,1,0,0.0,0,,,,,,,,,,,
Destiny Udogie,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Alfie Devine,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Kiernan Dewsbury-Hall,43,2,16,17,2,0.05,0,0,2,0,0,32,5,16%,0,2,4,"1,716",39.91,6,115,10%,8.0,62,5.0,0.0,33,0,56.0,61%,13.0,34.0,32.0,16.0,225,167,183,42.0,26.0,30.0,0.0
